TranslatedRecipeName,TranslatedIngredients,PrepTimeInMins,CookTimeInMins,TotalTimeInMins,Servings,Cuisine,Course,Diet,TranslatedInstructions,URL
Paneer Butter Masala Biryani Recipe Layered Paneer Butter Masala Biryani Recipe,1 cup rice 2 cups water 1 tsp ghee 1 cardamom 2 long 1 star anise 12 inch cinnamon 2 whole black pepper salt as per taste 1 bay leaf 14 cup onion bottom Take 1 sprig of green coriander 1 sprig of mint 200 grams of cottage cheese cut into 12 inch cube 2 tomatoes 2 tablespoons cream 1 onion chop 1 inch ginger 3 cloves garlic 1 green chili 1 tsp cardamom powder 12 tsp cumin powder 12 tsp garam masala powder 12 tsp red chilli powder 1 tsp kasoori methi 1 tsp honey salt oil as per taste As per use 1 tbsp cashews for garnish,20,25,45,4,North Indian Recipes,Main Course,Vegetarian,To make Paneer Butter Masala Biryani recipe first wash the rice and soak it for 30 minutes To make rice for biryani heat ghee in a pressure cooker Add cardamom long star anise cinnamon whole black pepper bay leaves and cook for 1 minute Now add rice salt 2 cups of water and close the cooker Cook till 2 cities come and turn off the gas Allow the pressure to drain automatically Open the cooker and spread out the rice in a plate so that it becomes slightly cold Now add fried onions coriander leaves mint and mix well Keep it aside To make Paneer Butter Masala for Biryani heat oil in a pan Add cumin cardamom green chillies ginger garlic onion and cook till the onion turns brown Now add tomatoes salt and turn off the gas Allow to cool Now put this mixture in a mixer grinder and grind it into a paste Heat some oil in a pan Add the ground spices to it and cook for 1 minute After this add cumin powder garam masala powder red chili powder honey kasoori methi and let it cook on low flame After the gravy boils add cottage cheese cream and mix it Turn off the gas after 1 minute To make biryani grease a large bowl with butter Add fried onions mint leaves coriander Make a rice layer over it Press it well Now add Paneer Butter Masala to it Reinsert these layers and place the rice on the topmost layer Now place a plate over it and reverse it Serve Serve Paneer Butter Masala Biryani Recipe along with Bundi Raita and Papad for dinner,https://www.archanaskitchen.com/layered-paneer-butter-masala-biryani-recipe-in-hindi
Chiba Dhokli Recipe,12 1 2 12 2 7 1 1 2 2 2,10,10,20,2,Gujarati Recipes﻿,Snack,Vegetarian,4 5 10,http://www.archanaskitchen.com/chiba-dhokli-recipe-gujarati-snack-with-besan-in-hindi
Safed Achari Baingan Recipe White Aubergine in pickled spices,500 grams Brinjal Baingan Eggplant1 Onion finely chopped12 teaspoon Cumin seeds Jeera12 teaspoon Mustard seeds1 inch Ginger grated2 cloves Garlic grated12 teaspoon Turmeric powder Haldi1 tablespoon Coriander Powder Dhania1 teaspoon Red Chilli powder12 teaspoon Amchur Dry Mango Powder1 Tomato choppedSalt to taste1 Coriander Dhania Leaves finely chopped1 teaspoon Red Chilli powder1 teaspoon Mustard seeds1 teaspoon Cumin seeds Jeera1 teaspoon Fennel seeds Saunf1 teaspoon Kalonji Onion Nigella Seeds1 teaspoon Ajwain Carom seeds14 teaspoon Methi Seeds Fenugreek Seeds45 Dry Red ChilliesSunflower Oil for cooking,20,40,60,4,Indian,Dinner,Vegetarian,To begin making the Achari Baingan Recipe we will first make the achari masalaTo prepare marinade for Achari masala in a pan add mustard seeds cumin seeds fennel seeds nigella seed carom seeds fenugreek seeds and dry red chilies Dry roast the spices and chilies over medium heat till fragrant and slightly browned Turn off the heat Transfer spices to the jar of mixer and grind into a coarse powder Keep the achari powder asideWash and clean baingan and keep asideHeat oil in a wok and add mustard and cumin seeds in it and wait till they crackleAdd chopped onions and saute till raw smell goes off Now add ginger garlic paste and fry well till goldenNow add turmeric powder coriander powder red chili powder and the achari masala along with chopped tomatoesSaute until the tomatoes soften Meanwhile slit the baingan from the middle into two but keep the joint intact This is done so that the masala gets inside the aubergine nicely while cookingAdd the baingan in the fried masala and mix well such that everything incorporates wellAdd little amchur if required and stir well Add little water just to make sure the masala doesnt stick to the bottom of the heavy bottomed panAdd salt as per your taste and slow cook the baingan in low flame with lid closedOnce the baingan softens turn off the heat and garnish with freshly chopped coriander and stirServe the Safed Achari Baingan Recipe along with hot Phulkas smeared with ghee or along with hot steamed rice as a one dish dinner or a quick weeknight dinner,https://www.archanaskitchen.com/safed-achari-baingan-recipe-white-aubergine-in-pickled-spices
Herbed Butter Garlic Quinoa Recipe,112 cups Quinoa6 cloves Garlic finely chopped1 Onion finely chopped1 teaspoon Red Chilli flakes112 tablespoon Mixed Herbs Dried1 teaspoon Extra Virgin Olive Oil1 tablespoon ButterSalt to taste1 teaspoon Lemon juice,10,20,30,4,Continental,Main Course,Vegetarian,To begin making the Herbed Butter Garlic Quinoa Recipe firstly wash the quinoa in water drain and set aside Heat a pressure cooker with olive and butter on medium flame to this add the chopped garlic until it turns into a golden brown colour This will take about a minute or soNext into the pressure cooker add the onions and cook until it turns transparent Reduce the flame add the salt mixed herbs red chilli flakes and mix well Finally add in the washed and drained quinoa 3 cups of water and close the pressure cooker Pressure cook for 2 whistles and turn off the flame Allow the pressure to release naturally and only then open the pressure cooker Transfer the Herbed Butter Garlic Quinoa into a serving platter sprinkle some mixed herbs lemon juice and top with a dollop of butter Serve Herbed Butter Garlic Quinoa along with Roasted Chicken Curry Recipe In Spinach Parmesan Sauce or Spinach Ricotta Balls in Garlic Tomato Basil Sauce Recipe Delicious Avocado Salad Recipe with Vegetables Finish the meal with a dessert of Greek Yogurt Chocolate Mousse Recipe,http://www.archanaskitchen.com/herbed-butter-garlic-quinoa-recipe
Kala Vatana Amti Recipe Kala Vatana Amti Recipe,1 cup black gram boil 1 onion finely chopped 1 tomato finely chopped 1 teaspoon cumin powder 12 teaspoon black pepper powder 12 teaspoon cardamom powder 1 tablespoon ginger garlic Paste 1 teaspoon tamarind paste 1 teaspoon mustard 1 spoon curry leaves asafetida a pinch 4 sprigs of coriander finely chopped for garnish 1 tablespoon oil salt as per taste 5 Dry red chillies 4 long 1 lentil sugar 1 star anise 2 teaspoon coriander seeds 1 teaspoon fennel 1 teaspoon poppy seeds 12 teaspoon cumin seeds 1 tablespoon dry coconut tighten,10,30,40,4,Maharashtrian Recipes,Lunch,High Protein Vegetarian,2 1 2 15 2 1 2 10,https://www.archanaskitchen.com/kala-vatana-amti-recipe-in-hindi
Moong Dal Tikki Recipe,1 6 1 4 1 3 3 14 112 12 12 12 2,140,15,155,2,Indian,Appetizer,High Protein Vegetarian,To make the moong dal tikki recipe first soak the moong dal for a few hours Heat the water in a saucepan Add moong dal to it and cook on a medium flame for 5 minutes Drain the water and wash the lentils with cold water Keep it separately Now in a grinder add dal green chillies coriander leaves ginger and grind it well Now add the dal mixture onion paneer green peas in a bowl and mix well Now add corn flour cumin powder chaat masala powder mango powder salt and mix well Now make a round tikki and keep it separately Now heat oil in a frying pan Keep the tikkis in it and cook till it becomes golden from both the sides Serve hot Serve moong dal tikki recipe with coriander mint chutney and garam garam masala tea for dinner,http://www.archanaskitchen.com/moong-dal-tikki-recipe-in-hindi
Palak Paneer Bhurji Recipe Palak Paneer Bhurji Recipe,200 grams cheese pinch 50 grams spinach finely chopped 2 green chillies finely chopped 1 onion finely chopped 1 tomato finely chopped 2 cloves garlic finely chopped 12 small Teaspoon cumin 2 tsp red chilli powder 2 tsp garam masala powder 2 tsp mango powder 1 tbsp butter salt as per taste oil as per use,15,30,45,4,North Indian Recipes,Vegetarian,Vegetarian,To make the Palak Paneer Bhurji recipe firstly make paneer You can also buy cheese from outside Steal the cheese and keep it aside Now heat oil in a pan Add cumin seeds and let it crackle After the cumin seeds crackle add ginger garlic green chillies onions and cook them till the onions turn light brown Now add tomatoes and cook till they become soft Add the spinach and cook until the spinach is cooked Now add red chili powder garam masala powder mango powder paneer and mix well Add the butter and cook for 3 to 4 minutes After cooking turn off the gas and serve hot Serve the spinach paneer bhurji with dal makhni boondi raita and phulka for dinner,https://www.archanaskitchen.com/palak-paneer-bhurji-recipe-spiced-cottage-cheese-scramble-with-spinach-recipe-in-hindi
Beans Curry Recipe,500 2 1 12 4 2 1 2 1 1 2 1 1 10 14,10,35,45,4,North Indian Recipes,Lunch,Vegetarian,1 2 12 10 10 1 5 5,https://www.archanaskitchen.com/beans-curry-recipe-in-hindi
Coconut Ladoo Stuffed With Pistachios Recipe,1 cup Condensed Milk1 cup Dessicated Coconut plus a few more tablespoons for rolling1 tablespoon Rose water optional2 tablespoons Pistachios groundGhee to grease palms when rolling ladoos,10,30,40,10,Indian,Snack,Vegetarian,To begin making the Coconut Ladoo Stuffed With Pistachios firstly grind the pistachios into a fine powder place it in a bowl and set it aside for later useNext in a non stick pan pour the condensed milk and desiccated coconut Turn the heat down to low and cook it stirring continuouslyIn about 5 minutes or less sometimes the mixture will begin to turn thick almost like a dough If you are adding in the rose syrup now is the timeOnce the mixture reaches dough like consistency you can stop cooking it Add rose syrup and mix uniformlyTake the mixture off the heat and let it rest for until cools down a bit and is easier to handle with your bare palmsGrease your palm well with ghee or butter Pinch a lemon sized coconut ladoo dough mixture and press it well between your palms and then roll it into a rough round ladooFlatten the ladoo dough slightly and make an depression in the center with your thumb Add a teaspoon of ground pistachios to the centreRoll once again encasing the ground pistachio inside the coconut laddoo into perfect roundsFinally roll the ladoo in desiccated coconut and set it aside Repeat until you have used up all the coconut ladoo doughServe them immediately or store the laddoos in an airtight box in the fridge for about 23 daysServe Coconut Ladoo Stuffed With Pistachios along with Sabudana Khatti Meethi Namkeen when you have guests over during the festive season or as an evening snack along with Masala Chai,http://www.archanaskitchen.com/easy-coconut-ladoo-stuffed-with-pistachios-recipe
Kurkuri Bhindi With Spicy Tomato Yogurt Gravy Recipe,250 grams Bhindi Lady FingerOkraSunflower Oil for deep frying2 tablespoons Gram flour besanSalt as needed12 teaspoon Red Chilli powder12 teaspoon Chaat Masala Powder1 tablespoon WaterSunflower Oil as required12 teaspoon Mustard seeds12 teaspoon Cumin seeds Jeera14 teaspoon Asafoetida hing1 tablespoon Ginger Garlic Paste1 to 2 Green Chillies finely chopped1 Onion thinly sliced12 cup Curd Dahi Yogurt whisked1 Tomato finely chopped1 teaspoon Red Chilli powder12 teaspoon Turmeric powder Haldi1 teaspoon Coriander Powder Dhania,20,40,60,4,North Indian Recipes,Lunch,Vegetarian,To begin making the Kurkuri Bhindi With Spicy Tomato Yogurt Gravy firstly we will make the crispy bhindiWash the bhindi make a cut take out the seeds and then thinly slice all of the bhindisTake a mixing bowl add the bhindi and all the ingredients mentioned under for the crispy bhindiHeat oil in a deep frying pan and deep fry the bhindi till they become crisp Take them out on a absorbent paper to absorb the excess oilOnce done keep them asideNext heat oil in a heavy bottomed pan and add mustard seeds cumin seeds hing and ginger garlic pasteAfter 30 seconds add the green chillies and onions Cook till the onions becomes soft and translucentNext add the tomatoes and cook for about 3 minutes or till the tomatoes gets mushyAdd all the dry masalas including red chilli powder turmeric powder salt and coriander powderCook for about 5 to 6 minutes and then add curd in it Stir continuously for about a minute Add water if requiredLet it cook for about 5 minutes more and when it is cooked properly add the chopped coriander leavesNow mix the crispy bhindi on the gravy give a stir and serve hot Serve Kurkuri Bhindi With Spicy Tomato Yogurt Gravy along with Panchmel Dal Phulkas and Rice for a perfect weekday meal,http://www.archanaskitchen.com/kurkuri-bhindi-with-spicy-tomato-yogurt-gravy-recipe
Mexican Style Vegetarian Chimichanga RecipeDeep Fried Burrito,1 Carrot Gajjar peeled and chopped small1 Green bell peppers chopped small1 Onion chopped1 Green Chilli chopped2 tablespoons Roasted tomato pasta sauce4 cloves Garlic chopped12 cup Brown Rice cooked4 Pickled Jalapenos chopped1 teaspoon Red Chilli flakes1 teaspoon Red Chilli powder12 teaspoon Dry ginger powder1 teaspoon Black pepper powderSalt to taste1 cup Whole Wheat Flour12 teaspoon Salt12 teaspoon Baking powder1 tablespoon Butter,15,30,45,4,Mexican,Lunch,Vegetarian,To begin making the Mexican Style Vegetarian Chimichanga Recipe combine flour salt and baking powder together in a large mixing bowlGradually knead the dough adding the butter and a little water at a time until the dough comes together and becomes smooth and elasticKnead well for about 5 minutes this will make the dough fluffy and soft when cooked on the skillet Divide the dough into 8 portions and shape them into balls Keep it asideTo make the filling heat a sauce pan with oil add the carrots and saut till they are softAdd in the onions bell peppers garlic and saute till they are well roasted for about 10 minutes You can sprinkle some water and cover it with the lid and cook for 2 more minutesAdd the seasonings sauce and rice and toss it well till the seasonings is coated properly Check for salt and adjust according to your palate You can add the jalapenos at this stage and mix Switch off the heat and allow it to cool downPreheat the oven to 180 degree Celsius and we will start to make the burritosFlatten dough balls with the palm of your hand Take a portion of the dough toss it on the flour and roll out into thin circles to approximately 6 inches in diameterAs you roll them out you can keep tossing the dough in dry flour while rolling this will prevent it from getting sticky when rolling them outPlace the filling in the center and fold the tortilla on either side and cover it to form a small wrapped Burrito PacketServe the Mexican Style Vegetarian Chimichanga Recipe can be serve along with Mexican salsa sour cream Homemade Nachos Recipe,https://www.archanaskitchen.com/mexican-style-vegetarian-chimichanga-recipe-deep-fried-burrito-recipe
Chironji dal recipe,1 cup Chironji soaked in water250 grams Bhindi Lady FingerOkra chopped small1 teaspoon Cumin seeds Jeera1 Cardamom Elaichi PodsSeeds1 teaspoon Whole Black Peppercorns1 inch Ginger chopped2 Green Chilli slit1 teaspoon Kashmiri Red Chilli Powder1 tablespoon Coriander Powder Dhania2 tablespoon Curd Dahi YogurtSalt to tasteSunflower Oil,30,60,90,4,North Indian Recipes,Lunch,Vegetarian,To begin making the Chironji Ki Dal soak the chironji seeds in water for at least 1 hour and drain the waterRub the seeds against your palm to remove the outer layer and discard themGrind the cleaned seeds in mixer to a coarse paste and keep it asideHeat a flat skillet with oil add cumin seeds cardamom pepper corns and allow it to splutter for few secondsAdd ginger and cook till it softens Add chopped ladies finger green chilli sprinkle little salt and turmeric and cook till the ladies finger is done This will take about easily 10 minutesAdd spice powders and curd and keep sauting until the water from the curd is all drained outAt the end add the ground chironji seed and mix well Check for salt and add little water to adjust the consistencyServe the Chironji Ki Dal Recipe along with Bhatura Recipe Fried Puffed Yogurt Bread and some Pickled Onions Recipe to make you breakfast complete,https://www.archanaskitchen.com/chironji-ki-dal-recipe
Sri Lankan Pumpkin Curry Recipe No Oil,500 grams Kaddu Parangikai Pumpkin cut into medium chunks8 Shallots finely sliced1 Green Chilli slit1 Cinnamon Stick Dalchini1 teaspoon Methi Seeds Fenugreek Seeds1 teaspoon Turmeric powder Haldi1 teaspoon Black pepper powder12 teaspoon Red Chilli powder12 teaspoon Sugar1 cup Coconut milkSalt to taste5 cloves Garlic2 teaspoons Mustard seeds,10,15,25,4,Sri Lankan,Dinner,Vegetarian,To begin making Sri Lankan Pumpkin Curry Recipe wash deseed and cut the yellow pumpkin along with the skin to medium square pieces and keep asideMake a coarse paste of the garlic and mustard seeds using a mortar and pestle and keep asideHeat a heavy bottomed pan add the pumpkin squares sliced shallots slit green chilli cinnamon stick fenugreek seeds turmeric powder pepper powder red chilli powder sugar and a cup of waterSeason with salt and simmer until the pumpkin is half cooked occasionally stirring in between This will take around 8 minutesNow add the coarse garlic mustard mix and cook until the pumpkin is well cooked yet firm Add the coconut milk and bring it to a rolling boil and switch off the flameServe Sri Lankan Pumpkin Curry Recipe along with Steamed Rice Sri Lankan Style Sambol and Elai Vadam for a weekday meal,https://www.archanaskitchen.com/sri-lankan-pumpkin-curry-recipe-zero-oil
Saoji Methi Pulao Recipe Maharashtrian Style Fenugreek Leaves Pulao,2 cups Rice soaked for 10 to 15 minutes12 tablespoon Ginger paste12 tablespoon Garlic paste2 Onions finely chopped2 Tomatoes finely chopped1 cup Green peas Matar1 cup Methi Leaves Fenugreek Leaves finely chopped1 tablespoon Red Chilli powder1 teaspoon Cumin seeds Jeera2 to 3 tablespoon Saoji masala3 to 4 tablespoon Sunflower Oil4 cups WaterSalt as required3 Whole Black Peppercorns1 Bay leaves tej patta1 Cinnamon Stick Dalchini1 Black cardamom Badi Elaichi2 Cardamom Elaichi PodsSeeds1 Star anise1 teaspoon Cumin seeds Jeera1 teaspoon Fennel seeds Saunf1 teaspoon Poppy seeds2 teaspoon Dessicated Coconut1 teaspoon Red Chilli powder,15,30,45,4,Indian,Lunch,Vegetarian,To prepare Saoji Methi Pulao Recipe start by preparing saoji masala first Dry roast all the spices mentioned for saoji masala like whole black peppercorns bay leaves cinnamom stick black cardamom cardamom star anise cumin seeds fennel seeds poppy seeds dessicated coconut powder except chilli powderGrind it in Mixer grinder along with chilli powder into a fine powder If using dry red chilli dry roast it along with other spicesTake oil in Cast Iron Handi add cumin seeds and then add onion into it When onion is translucent and looks cooked add ginger garlic pasteCook it for 2 to 3 minutes add tomatoes to it When the tomatoes become tender add red chilli powder and saoji masala with saltNow wait for the masala to cook well in the mixture when it is blended well add green peas and fenugreek leaves into itCook for 5 minutes and then add rice with 4 cups of waterLet the rice cook on a high flame When there is a little water left lower the flame cover pan with lid and let the rice fully cookServe Saoji Methi Pulao Recipe along with Ajwaini Tamatar Bhindi and Phulka to make it a delicious everyday meal,http://www.archanaskitchen.com/saoji-methi-pulao-recipe-fenugreek-leaves-pulao-cooked-in-maharashtrian-spices
Rajgira Paneer Paratha Recipe Navratri FastingVrat Recipe,1 cup Rajgira Flour Amaranth Flour2 Potato Aloo boiled1 cup Paneer Homemade Cottage Cheese grated2 Green Chillies finely chopped1 teaspoon Turmeric powder Haldi1 teaspoon Cumin powder Jeera2 sprig Coriander Dhania Leaves finely chopped12 teaspoon Whole Black Peppercorns groundSalt or rock salt to tasteSunflower Oil or ghee for cooking,15,10,25,4,North Indian Recipes,Lunch,Diabetic Friendly,We begin making the Rajgira Paneer Paratha Recipe Navratri FastingVrat Recipe by Mixing all the ingredients together in a mixing bowl with enough water to a dough consistencyThe rajgira flour is little hard to work with since it does not contain gluten so make sure to have enough flour to dust while rolling the doughDivide the dough into equal portions and roll it onto a boardHeat a Flat bottomed pan and add the rolled paratha with some ghee and cook it on both the sides for about 2 minutesServe your crispy Rajgira Paneer Paratha with No Onion No Garlic Tomato Chutney making it a delicious meal,https://www.archanaskitchen.com/rajgira-paneer-paratha-recipe-navarati-fasting-vrat-recipe
Togarikalu Akki Recipe Karnataka Style Rice Rava Upma with Fresh Pigeon Peas,2 cups Rice rava1 cup Fresh Green Toor Dal Pigeon Pea3 tablespoons Fresh coconut grated1 teaspoon Mustard seeds1 teaspoon White Urad Dal Split1 teaspoon Chana dal Bengal Gram Dal14 teaspoon Asafoetida hing2 Dry Red Chillies1 sprig Curry leaves1 tablespoon Sunflower OilSalt to taste4 tablespoons Arhar dal Split Toor Dal2 teaspoons Cumin seeds Jeera1 teaspoon Whole Black Peppercorns,5,15,20,4,Karnataka,South Indian Breakfast,Vegetarian,To begin making Togarikalu Akki Recipe make a coarse mix of toor dal cumin seeds and peppercorns using a mixer grinder and keep asideHeat oil in a pressure cooker on medium heat add the mustard seeds chana and urad dal and let it crackleAdd the red chillies asafoetida and curry leaves and let it splutterAdd the fresh pigeon peas and saute for a minuteNow add the ground toor dal mix and saute for another minuteAdd the rice rava 3 12 cups of water season with salt close the lid and cook till one whistle and switch off the flame Allow the pressure release naturally open the lid and fork it up so it doesnt stick to each other Serve the Togarikalu Akki Recipe in kids lunch box or for breakfast along with a hot cup of masala chai,http://www.archanaskitchen.com/togarikalu-akki-recipe-karnataka-style-rice-rava-upma-with-fresh-pigeon-peas
Double Ka Meetha Recipe With Mixed Nuts Rabri,500 ml Milk6 Whole Wheat Brown Bread14 cup Sugar12 cup Water14 teaspoon Cardamom Powder Elaichi1 tablespoon Cashew nuts finely chopped1 tablespoon Badam Almond finely chopped1 tablespoon Pistachios finely choppedSaffron strands few12 teaspoon Rose waterGhee for shallow frying,10,40,50,4,Hyderabadi,Dessert,Vegetarian,To prepare Double Ka Meetha Recipe With Mixed Nuts Rabri trim the edges of bread slices and cut each slice into 4 triangles if the bread slices are bigger or 2 triangles if the bread slices are smaller Keep asideNow prepare the sugar syrup by boiling water and sugar on medium flame till 1 string consistency Then turn off the flame add rose water give a quick stir and keep asidePour milk in a heavy deep bottom pan boil on lowmedium flame until reduced to half Keep stirring constantly to avoid charring of milk Add cardamom powder along with saffron stir well Turn off the flame and keep aside to coolOn a nonstick tawa shallow fry the triangular bread slices with ghee till brownish in color and crispDip each bread slices into the sugar syrup and arrange on a serving platePour the thickened milk rabri over the bread slices Sprinkle finely chopped nuts and few saffrons over the rabri Serve this delicious Double Ka Meetha Recipe With Mixed Nuts Rabri chilled or warm,http://www.archanaskitchen.com/double-ka-meetha-recipe-with-mixed-nuts-rabri
North Indian Feni Recipe Sevaiyan Kheer,100 grams Pheni or one roll300 ml Milk14 cup Sugar1 tablespoon Ghee2 tablespoons Cashew nuts2 tablespoons Raisins2 tablespoons Almond Meal Badam Powder,10,15,25,4,North Indian Recipes,Dessert,Vegetarian,To begin making the North Indian Pheni Recipe we will first get all the ingredients ready and keep them by the side In a heavy bottom pan bring the milk to a brisk boil Lower the heat and simmer for 5 to 10 minutes till it thickens a little Once the milk has thickened a little add the sugar and almond powder and simmer for another couple of minutesThe almond powder will help thicken the milk Add the pheni at this stage and mix well and turn off the heat Allow the milk and pheni mixture to rest in the pan for about 10 minutes This will help soften the pheni in the warm milkTransfer the Pheni to a serving bowl In a small pan heat the ghee on medium to low heat and roast cashew and raisins until golden brown and crisp Turn off the heat and pour it over the Pheni KheerServe North Indian Pheni as a dessert after your delicious festive meal of Jodhpuri Aloo Ajwain Puri Satvik Carrot Sprout Salad and Mirchi Ka Chunda,https://www.archanaskitchen.com/north-indian-pheni-recipe-a-thin-silky-seviyan-kheer
And fish soup recipe Bengali fish curry,1 Aar Maach fish rohu or katla1 Tomato1 Bay leaf tej patta2 tablespoons Ginger Garlic Paste3 Green Chillies1 teaspoon Cumin seeds Jeera1 teaspoon Coriander Powder Dhania1 teaspoon Red Chilli powder12 teaspoon Turmeric powder HaldiMustard oil as requiredSalt to tasteWater as requiredCoriander Dhania Leaves Few sprigs,10,40,50,2,Bengali Recipes,Lunch,High Protein Non Vegetarian,To begin making the Aar Macher Jhol Recipe wash and clean fish pieces twice with water Ensure they are properly cleanedAdd salt and turmeric powder to the cleaned fish pieces Marinate it and set asideLeave the fish marination for about 2 hoursIn a heavy bottomed pan add the required oil and heat over medium heat Fry the fish pieces and fry until they turn lightly brown The fish pieces should be half cookedIn the medium sized wokkadhai add the remaining oil and heat over medium heatOnce the oil is hot add cumin seeds and bay leaf Let it crackleAdd chopped tomatoes and cook until they become mushy To the mushy tomatoes add red chilli powder coriander powder and ginger garlic pasteCook until the raw smell goes off and the spice powders are absorbed by the tomatoes Add water as per your required consistency and bring it to boilOnce the water starts boiling add the fried fish pieces and cook them over low flameSlit the green chillies and add them to the curry Once the fishes are cooked completely and the curry reaches required consistency season it with salt and switch off the flameEnsure the curry is cooked over medium flame once the fish pieces are added If fish is overcooked it might dissolve in the curryGarnish with coriander leaves and serve warmly Prepare Aar Macher Jhol and serve it along with Steamed Rice and Begun Bhaja for your everyday meals,https://www.archanaskitchen.com/aar-macher-jhol-recipe-bengali-fish-curry
Bengali Aloo Potol er Dalna Recipe A Traditional Vegetable Side Dish,8 Pointed gourd Parval peeled and cut into diced3 Potatoes Aloo peeled and diced1 teaspoon Turmeric powder Haldi2 Bay leaves tej patta torn1 teaspoon Cumin seeds Jeera1 inch Cinnamon Stick Dalchini2 Cloves Laung2 Cardamom Elaichi PodsSeeds1 inch Ginger grated1 Tomato finely chopped2 teaspoon Coriander Powder Dhania12 teaspoon Garam masala powder1 teaspoon Kashmiri Red Chilli Powder1 Dry Red Chilli14 teaspoon Asafoetida hing1 teaspoon SugarSalt to tasteSunflower Oil for cooking,20,45,65,4,Bengali Recipes,Dinner,Vegetarian,To begin making the Bengali Aloo Potol er Dalna Recipe first prep all the ingredients get them together and keep readyWe will cook the dish directly in a pressure cooker In the traditional method you would cook both the aloo and potol separately and then make the masala and add to it The following method is a healthy way of cooking the recipe and uses much less oilHeat a teaspoon of oil in the pressure cooker Add the cumin seeds dry red chilies the cinnamon cloves cardamom and saute till the aromas are released Add the chopped tomatoes and saute till the tomatoes softenOnce the tomatoes soften add the turmeric powder chili powder coriander powder garam masala salt the chopped vegetables and stir Add 112 of water cover the pressure cooker and allow it to cook until you hear three to four whistlesAfter three to four whistles turn the heat to low and allow it to simmer for about 2 minutes and turn off the heatAllow the pressure to release naturally once the pressure is released open the pressure cooker the the Aloo Potol er Dalna should be done If the gravy is too watery simmer and allow the water to evaporate and let the gravy thicken Once done check the salt and spices and adjust to suit your taste Turn off the heat and transfer to a serving bowl Serve the Aloo Potol er Dalna as a side dish along with Bengali Chirer Polao Recipe Phulka and a Bengali Cholar Dal,https://www.archanaskitchen.com/bengali-alu-potol-er-dalna-recipe-a-traditional-vegetable-side-dish
Broccoli Corn Barley Soup Recipe,1 cup Barley seeds soaked for 26 hours1 cup Broccoli florets14 cup Green peas Matar fresh or frozen14 cup Sweet corn14 cup Green beans French Beans chopped12 cup Carrots Gajjar thinly sliced in strips1 cup Rocket leaves or spinach leaves2 Tomatoes chopped1 Onion chopped4 cloves Garlic minced1 tablespoon Extra Virgin Olive Oil1 teaspoon Basil leaves1 teaspoon Fresh Thyme leaves1 teaspoon Red Chilli flakesSalt to tasteBlack pepper powder to taste2 teaspoons Corn flourWater as requiredSour cream to serve,15,30,45,4,Continental,Dinner,Vegetarian,To prepare Broccoli Corn Barley Soup Recipe wash and soak pearl barley in 2 cups of water for 2 to 6 hoursDrain and place them in a saucepan with 2 cups of water and a dash of salt Bring it to boil and then simmer and let it cook for 15 minutesOnce cooked drain the excess water and set it asideIn another saucepan heat olive oil Add minced garlic and onion and saute for 23 minutes until slightly brown in colourNow add all the chopped vegetables except rocket leaves tomatoes salt pepper basil thyme and chilli flakes Stir and cook for a minuteAdd in 4 cups of water and let it boil Once boiled keep the heat on low to medium and cook for 15 minutesNow add the drained pearl barley and rocket leaves Stir and add cornstarch mixed with 2 tablespoons of waterStir and let the soup thickened a littleRemove from heat Season with more salt and pepper if desiredServe Broccoli Corn Barley Soup Recipe warm with a dollop of sour cream pair it up with Cauliflower Chutney Grilled Sandwich or any sandwich of your choice,https://www.archanaskitchen.com/broccoli-corn-barley-soup-recipe
